Firmenname,Adresse,Wärmemenge pro Jahr (in kWh/a)
Friedrichs & Rath GmbH,Papenweg 6 Extertal 32699,735659.0
Frieslandcampina Kievit GmbH,Wiedenbrücker Str. 80 Lippstadt 59555,22351691.0
Fritz Becker GmbH & Co. KG,Am Königsfeld 15 Brakel 33034,855000.0
Fritz Jaspert KG - Waffelfabrik,Richard-Wagner-Straße 24 Hamm 59063,1777523.0
Fritz Schmidt Metallgießerei GmbH & Co. KG,Am Hambuch 20 Meckenheim 53340,3382313.0
Funke Kunststoffe GmbH,Siegenbeckstraße 15 Hamm 59071,2164225.0
Futterallianz Nordwest GmbH & Co.KG,Auf'm Halskamp 12 Garrel 49681,21204000.0
GAMMA Warenhandel GmbH & Co. KG,Vaalser Straße 242-246 Aachen 52074,21802466.0
GASAG Solutions Plus GmbH,Wilhelm-Bötzkes-Straße 1 Düsseldorf 40474,991324.0
GASCADE Gastransport GmbH,"Ellernbrede 5 Bad Salzuflen, OT Lockhausen 32107",287157947.0
GBE - Gocher Bioenergie GmbH,Klever Str. 135 Goch 47574,99301000.0
GEDIA Gebrüder Dingerkus GmbH,Askay 35 Attendorn 57439,6774924.0
